CVEGEO,NOMBRE_MUN,H,M,T,TEMA,ANIO,MARCADOR
30040,Coatzintla,1,0,1,Capacitación sobre PERSPECTIVA DE GÉNERO,2019,CAP5
30044,Córdoba,77,14,91,Capacitación sobre PERSPECTIVA DE GÉNERO,2019,CAP5
30068,Fortín,30,17,47,Capacitación sobre PERSPECTIVA DE GÉNERO,2019,CAP5
30128,Perote,27,7,34,Capacitación sobre PERSPECTIVA DE GÉNERO,2019,CAP5
30131,Poza Rica de Hidalgo,50,6,56,Capacitación sobre PERSPECTIVA DE GÉNERO,2019,CAP5
30193,Veracruz,75,55,130,Capacitación sobre PERSPECTIVA DE GÉNERO,2019,CAP5
30087,Xalapa,569,281,850,Capacitación sobre PERSPECTIVA DE GÉNERO,2019,CAP5
30040,Coatzintla,1,0,1,Capacitación sobre DERECHOS HUMANOS DE LAS MUJERES  2019,2019,CAP1
30044,Córdoba,77,14,91,Capacitación sobre DERECHOS HUMANOS DE LAS MUJERES  2019,2019,CAP1
30068,Fortín,30,14,44,Capacitación sobre DERECHOS HUMANOS DE LAS MUJERES  2019,2019,CAP1
30128,Perote,24,6,30,Capacitación sobre DERECHOS HUMANOS DE LAS MUJERES  2019,2019,CAP1
30131,Poza Rica de hidalgo,50,6,56,Capacitación sobre DERECHOS HUMANOS DE LAS MUJERES  2019,2019,CAP1
30193,Veracruz,55,93,148,Capacitación sobre DERECHOS HUMANOS DE LAS MUJERES  2019,2019,CAP1
30087,Xalapa,367,269,636,Capacitación sobre DERECHOS HUMANOS DE LAS MUJERES  2019,2019,CAP1
30087,Xalapa,36,41,77,Capacitación sobre FEMINICIDIO 2019,2019,CAP4
30003,Acayucan,12,6,18,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30048,Cosoleacaque,5,3,8,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30089,Jáltipan,3,0,3,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30128,Perote,19,6,25,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30141,San andrés tuxtla,17,5,22,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30144,Sayula de Alemán,1,0,1,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30145,Soconusco,3,0,3,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30087,Xalapa,8,118,126,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30102,Martínez de la Torre,8,13,21,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30094,Juan Rodríguez Clara,0,2,2,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30131,Poza Rica de hidalgo,4,10,14,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30208,Carlos A. Carrillo,0,1,1,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30028,Boca del Río,25,18,43,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30123,Pánuco,5,7,12,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
30068,Fortín,3,5,8,Capacitación sobre ENFOQUE DE GÉNERO 2020,2020,CAP3
