DISTRITO,Municipio,lat_decimal,lon_decimal
1,Pánuco,22.8773,-102.541
2,Tantoyuca,21.35,-98.2333
3,Túxpam de Rodríguez Cano,20.9646,-97.4045
4,Veracruz,19.1727, -96.1333
5,Poza Rica de Hidalgo,20.53315, -97.45946
6,Papantla,20.4567,-97.3156
7,Martínez de la Torre,20.0615132,-97.0545256
8,Xalapa,19.5426,-96.9137
9,Coatepec,19.4536,-96.9588
10,Xalapa,19.5426,-96.9137
11,Coatzacoalcos,18.14905,-94.4447
12,Veracruz,19.1727, -96.1333
13,Huatusco,19.1494,-96.9676
14,Minatitlán,17.9889,-94.5586
15,Orizaba,18.85591,-97.11238
16,Córdoba,18.8842,-96.92559
17,Cosamaloapan,18.34569,-95.9795
18,Zongolica,18.66552,-96.99801
19,San Andrés Tuxtla,18.4441222,-95.21302
20,Cosoleacaqueg​,18.01369,-94.5714
