mapa,cve_ent,CVEGEO,cve_mun,nom_mun,CVEGEO,lat_decimal,lon_decimal,altitud
300010001,30,30001,1,Acajete,30001,19.586974,-97.010454,2019
300020001,30,30002,2,Acatlán,30002,19.696924,-96.842175,1739
300030001,30,30003,3,Acayucan,30003,17.948823,-94.913871,101
300040001,30,30004,4,Actopan,30004,19.504051,-96.616881,245
300050001,30,30005,5,Acula,30005,18.506031,-95.774584,15
300060001,30,30006,6,Acultzingo,30006,18.718763,-97.302837,1659
300070001,30,30007,7,Camarón de Tejeda,30007,19.021175,-96.614976,332
300080001,30,30008,8,Alpatláhuac,30008,19.119951,-97.093152,1846
300090001,30,30009,9,Alto Lucero de Gutiérrez Barrios,30009,19.623525,-96.733619,1111
300100001,30,30010,10,Altotonga,30010,19.766149,-97.245526,1881
300110001,30,30011,11,Alvarado,30011,18.774278,-95.763929,6
300120001,30,30012,12,Amatitlán,30012,18.432344,-95.733279,0
300130001,30,30013,13,Naranjos Amatlán,30013,21.346903,-97.686252,41
300140001,30,30014,14,Amatlán de los Reyes,30014,18.847578,-96.915484,742
300150001,30,30015,15,Ángel R. Cabada,30015,18.595482,-95.442725,21
300160001,30,30016,16,La Antigua,30016,19.36683,-96.371389,20
300170001,30,30017,17,Apazapan,30017,19.320423,-96.718649,279
300180001,30,30018,18,Aquila,30018,18.795735,-97.308123,1824
300190001,30,30019,19,Astacinga,30019,18.56683,-97.102076,2257
300200001,30,30020,20,Atlahuilco,30020,18.697427,-97.090686,1739
300210001,30,30021,21,Atoyac,30021,18.914289,-96.778274,484
300220001,30,30022,22,Atzacan,30022,18.906968,-97.083905,1283
300230001,30,30023,23,Atzalan,30023,19.789076,-97.244143,1676
300240001,30,30024,24,Tlaltetela,30024,19.31466,-96.902586,980
300250001,30,30025,25,Ayahualulco,30025,19.351586,-97.148803,2052
300260001,30,30026,26,Banderilla,30026,19.591607,-96.940884,1510
300270001,30,30027,27,Benito Juárez,30027,20.886561,-98.205445,258
300280001,30,30028,28,Boca del Río,30028,19.105439,-96.106651,10
300290001,30,30029,29,Calcahualco,30029,19.122291,-97.085264,1793
300300001,30,30030,30,Camerino Z. Mendoza,30030,18.804241,-97.184717,1339
300310001,30,30031,31,Carrillo Puerto,30031,18.799891,-96.57106,190
300320001,30,30032,32,Catemaco,30032,18.424615,-95.112339,363
300330001,30,30033,33,Cazones de Herrera,30033,20.703285,-97.312321,18
300340001,30,30034,34,Cerro Azul,30034,21.191467,-97.742319,144
300350001,30,30035,35,Citlaltépetl,30035,21.328468,-97.879275,221
300360001,30,30036,36,Coacoatzintla,30036,19.653106,-96.945141,1415
300370001,30,30037,37,Coahuitlán,30037,20.275062,-97.714875,181
300380001,30,30038,38,Coatepec,30038,19.454661,-96.960274,1200
300390001,30,30039,39,Coatzacoalcos,30039,18.137883,-94.453001,19
300400001,30,30040,40,Coatzintla,30040,20.482363,-97.460782,113
300410001,30,30041,41,Coetzala,30041,18.785636,-96.916692,640
300420001,30,30042,42,Colipa,30042,19.924,-96.72673,192
300430001,30,30043,43,Comapa,30043,19.164629,-96.886231,1060
300440001,30,30044,44,Córdoba,30044,18.894384,-96.935349,861
300450001,30,30045,45,Cosamaloapan de Carpio,30045,18.364774,-95.796359,15
300460001,30,30046,46,Cosautlán de Carvajal,30046,19.332644,-96.991364,1262
300470001,30,30047,47,Coscomatepec,30047,19.072898,-97.046421,1530
