,CVEGEO,nom_mun_x,PROG1,BEN1,FOTO1,PROG2,BEN2,FOTO2,PROG3,BEN3,FOTO3,PROG4,BEN4,FOTO4,PROG5,BEN5,FOTO5,PROG6,BEN6,FOTO6,PROG7,BEN7,FOTO7,PROG8,BEN8,FOTO8,PROG9,BEN9,FOTO9,PROG10,BEN10,FOTO10,PROG11,BEN11,FOTO11,PROG12,BEN12,FOTO12,PROG13,BEN13,FOTO13,PROG14,BEN14,FOTO14,PROG15,BEN15,FOTO15,mapa,cve_ent,cve_mun,nom_mun_y,latitud,longitud,lat_decimal,lon_decimal,altitud
0,30001,Acajete,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300010001,30,1,Acajete,"19°35´13.108""N","097°00´37.633""W",19.586974,-97.010454,2019
1,30002,Acatlán,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300020001,30,2,Acatlán,"19°41´48.927""N","096°50´31.829""W",19.696924,-96.842175,1739
2,30003,Acayucan,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,Atención y Atracción de Inversiones,1,https://www.flickr.com/photos/193071064@N03/albums/72157719270644337,Gestíon y Acompañamiento en materia industrial,9,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,PDIT,22,https://www.flickr.com/photos/193071064@N03/albums/72157719270736637,Vinculación industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,Registro Único de Productores Veracruzanos,1,0,0,0,0,0,0,0,Estudio de contenido nutrimental,1,0,Registro de Marca ante el IMPI,2,0,0,0,0,300030001,30,3,Acayucan,"17°56´55.761""N","094°54´49.935""W",17.948823,-94.913871,101
3,30004,Actopan,0,0,0,0,0,0,Capacitación en materia industrial,1,0,Capacitación en materia industrial,1,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,Vinculación industrial,2,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,0,0,0,0,0,0,Obtención de Código de Barras,1,0,Estudio de contenido nutrimental,1,0,Registro de Marca ante el IMPI,1,0,Diseño de logotipo e imagen corporativa,1,0,300040001,30,4,Actopan,"19°30´14.584""N","096°37´00.773""W",19.504051,-96.616881,245
4,30005,Acula,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300050001,30,5,Acula,"18°30´21.710""N","095°46´28.502""W",18.506031,-95.774584,15
5,30006,Acultzingo,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300060001,30,6,Acultzingo,"18°43´07.546""N","097°18´10.214""W",18.718763,-97.302837,1659
6,30007,Camarón de Tejeda,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300070001,30,7,Camarón de Tejeda,"19°01´16.229""N","096°36´53.912""W",19.021175,-96.614976,332
7,30008,Alpatláhuac,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300080001,30,8,Alpatláhuac,"19°07´11.823""N","097°05´35.347""W",19.119951,-97.093152,1846
8,30009,Alto Lucero de Gutiérrez Barrios,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,2,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,0,0,0,0,0,0,Obtención de Código de Barras,1,0,0,0,0,0,0,0,0,0,0,300090001,30,9,Alto Lucero de Gutiérrez Barrios,"19°37´24.689""N","096°44´01.030""W",19.623525,-96.733619,1111
9,30010,Altotonga,0,0,0,0,0,0,Capacitación en materia industrial,2,0,Capacitación en materia industrial,2,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,1,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,Registro Único de Productores Veracruzanos,1,0,Marca de Certificación Hecho en Veracruz,1,0,Obtención de Código de Barras,1,0,0,0,0,Registro de Marca ante el IMPI,1,0,0,0,0,300100001,30,10,Altotonga,"19°45´58.136""N","097°14´43.894""W",19.766149,-97.245526,1881
