CVEGEO,MUNICIPIO,TITULO,FECHA,ENLACEPUB,ENLACEFOT,URL
,Xalapa,"En la SSP todos los días y en cada una de las regiones del territorio veracruzano, refrendamos nuestro compromiso #PorTuSeguridad y bienestar.

¡Feliz domingo!",02/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/video.php?height=3180href=https%3A%2F%2Fwww.facebook.com%2FHugo.G.Maldonado%2Fvideos%2F1528287960884384%2F&show_text=false&width=560&t=0"" width=""560"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>",https://facebook.com/SPVeracruz/posts/1952684604932962
,Xalapa,"Con el objetivo de llevar regalos por el Día de los Reyes Magos a niñas y niños veracruzanos, este día la Secretaría de Seguridad Pública, participó en la campaña ""Dona un juguete, dona amor 2021“.

Las diversas áreas, operativas y administrativas de la institución participaron de manera activa en esta colecta, organizada por la Secretaría de Educación de Veracruz, en la cual se entregaron más de cinco mil juguetes. ¡Multipliquemos las buenas acciones!",04/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FSPVeracruz%2Fphotos%2Fa.227575647443875%2F1954010511467038%2F%3Ftype%3D3&show_text=false&width=250"" width=""250"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe>",https://facebook.com/SPVeracruz/posts/1954010988133657
,Veracruz,"Mediante la implementación del programa #PatrulleroEscolar, fortalecemos y garantizamos la seguridad vial de alumnado, madres y padres de familia en las inmediaciones de los planteles educativos de Veracruz.

¡Nuestro compromiso es con las y los veracruzanos! 👮🏻‍♀️👮🏻‍♂️🚔",05/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Ftransitossp.veracruz%2Fphotos%2Fa.780255522026326%2F5032606536791182%2F%3Ftype%3D3&show_text=false&width=250"" width=""250"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe>",https://facebook.com/SPVeracruz/posts/1954647108070045
,Xalapa,"Con el objetivo de sumar esfuerzos entre los tres órdenes de gobierno, como cada mañana encabezados por el Gob. Cuitláhuac García Jiménez sesionamos la COESCONPAZ en las instalaciones de la Fuerza Civil, donde presentamos los resultados de los operativos implementados en todo el Estado.

Con una estrecha coordinación consolidamos #ResultadosQueTransforman y protegen a Veracruz.",05/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FHugo.G.Maldonado%2Fphotos%2Fa.308595189741767%2F1001524250448854%2F%3Ftype%3D3&show_text=false&width=250"" width=""250"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe>",https://facebook.com/SPVeracruz/posts/1954823508052405
,Cosoleacaque,"Este #DíaDeReyes✨👑🎁 festejamos a los más pequeños de la casa; por ello, en coordinación con el Ayuntamiento de #Cosoleacaque y personal de Prevención del Delito, elementos de Tránsito del Estado se sumaron a la entrega de juguetes a niñas y niños.

¡Conservemos la ilusión y alegría de la niñez veracruzana!🐫🐘👑",06/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Ftransitossp.veracruz%2Fphotos%2Fa.780255522026326%2F5036075536444282%2F%3Ftype%3D3&show_text=false&width=250"" width=""250"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe>",https://facebook.com/SPVeracruz/posts/1955490561319033
,Veracruz,"La Secretaría de Seguridad Pública, a través de la Subsecretaría de Prevención y Participación Ciudadana, festejó este #DíaDeReyes a niñas y niños de las personas privadas de la libertad, en los 17 CERESOS del Estado, con la finalidad de promover la integración familiar y el fomento de las tradiciones mexicanas.

Logrando un rato de sana convivencia familiar, que es vital para continuar con un sano desarrollo durante su niñez, por tal motivo se llevaron a cabo diversas actividades en los Centros de Reinserción Social.

Con estas acciones, la SSP fortalece la reinserción social como parte de la estrategia para la Construcción de la Paz en Veracruz.",06/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FSPVeracruz%2Fphotos%2Fa.227575647443875%2F1955575671310522%2F%3Ftype%3D3&show_text=false&width=250"" width=""250"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe>",https://facebook.com/SPVeracruz/posts/1955576027977153
,Veracruz,Mensaje de la Coesconpaz sobre los hechos ocurridos en la zona centro-sur de Veracruz.,07/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/video.php?height=3180href=https%3A%2F%2Fwww.facebook.com%2FCuitlahuacGarciaJimenez%2Fvideos%2F465792181612909%2F&show_text=false&width=560&t=0"" width=""560"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share"" allowFullScreen=""true""></iframe>",https://facebook.com/SPVeracruz/posts/1956340344567388
,Isla,"Este viernes, por instrucciones del Gobernador Cuitláhuac García Jiménez, la Secretaría de Seguridad Pública del Estado de Veracruz desplegó un operativo de seguridad para dar con los responsables de los hechos ocurridos en el municipio de Isla, por lo que me encuentro en la región sur de la entidad coordinando las labores policiales.

Junto con la SEMAR, SEDENA y Guardia Nacional, trabajamos de manera coordinada para la búsqueda y detención de aquellos que buscan afectar el orden, la paz y bienestar de las familias veracruzanas.

En Veracruz, todo aquel que cometa un delito, ya sea del fuero común o federal, quedará sujeto a la justicia. Hoy, en Veracruz, a los grupos delincuenciales se les combate con todo el rigor de la ley. Seguiremos cumpliendo y trabajando para atender la seguridad de la población.",07/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FHugo.G.Maldonado%2Fphotos%2Fa.308595189741767%2F1002612547006691%2F%3Ftype%3D3&show_text=false&width=250"" width=""250"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe>",https://facebook.com/SPVeracruz/posts/1956394471228642
,Papaloapan,"Por instrucciones del Gobernador Cuitláhuac García Jiménez, este sábado encabecé la Reunión de Seguridad en la que participan autoridades de las secretarías de Marina (SEMAR) y Defensa Nacional (SEDENA), así como Guardia Nacional (GN), para activar el operativo de reforzamiento de la seguridad en la Cuenca del Papaloapan.

Mediante el despliegue de efectivos federales y estatales, encabezado por la SSP, se implementarán recorridos terrestres y aéreos para prevenir actividades delictivas y mantener el orden público en la región.

Además, personal de Fuerza Civil y Policía Estatal reforzarán la seguridad en los municipios de Isla, Playa Vicente, Acayucan, Carlos A. Carrillo, Cosamaloapan, así como el corredor Otatitlán-Tuxtepec y Tlacojalpan-Loma Bonita.

Desde el gobierno federal y estatal trabajamos unidos, coordinados y enfocados en nuestra tarea de continuar construyendo la paz en la entidad veracruzana.",08/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FHugo.G.Maldonado%2Fphotos%2Fa.308595189741767%2F1003132276954718%2F%3Ftype%3D3&show_text=false&width=250"" width=""250"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe>",https://facebook.com/SPVeracruz/posts/1957178257816930
,Cosamaloapan,"Esta mañana continuamos con los operativos regionales en la zona centro sur de Veracruz coordinados con la Marina, SEDENA, Guardia Nacional, SSP y Fuerza Civil. Se ha llevado acabo la reunión de evaluación en la región de Cosamaloapan de los operativos de ayer y hemos recibido la colaboración en todo momento de la Secretaría de Seguridad y Protección Ciudadana para garantizar la tranquilidad de la población; a quienes no dejaremos solos ni desprotegidos y seguiremos velando por su bienestar.",08/01/2022,0,"<iframe src=""https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FCuitlahuacGarciaJimenez%2Fphotos%2Fa.484333898375106%2F2367019496773194%2F%3Ftype%3D3&show_text=false&width=250"" width=""250"" height=""180"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe>",https://facebook.com/SPVeracruz/posts/1957212474480175
