CVEGEO,MUNICIPIO,CLAVE             GEO-LOC,LOCALIDAD,FECHA,DEPENDENCIA,ACCIONES,PERSONAS_ATENDIDAS,CANTIDAD_DE_PETICIONES_RECIBIDAS,TIPO_DE_PETICION_MAS_FRECUENTE,ÁREA DE OPORTUNIDAD,FOTO
30173,Tezonapa,30173,Tezonapa,09/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",3,3,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYVoiZ
30117,Omealca,30117,Omealca,09/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",7,7,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYVoiZ
30053,Cuitláhuac,30053,Cuitláhuac,10/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",5,5,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYVoiZ
30196,Yanga,30196,Yanga,10/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",8,8,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYVoiZ
30052,Cuichapa,30052,Cuichapa,11/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",4,4,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYVoiZ
30113,Naranjal,30113,Naranjal,11/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",12,12,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYVoiZ
30014,Amatlán de los Reyes,30014,Amatlán de los Reyes,12/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",11,11,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYVoiZ
30087,Xalapa ,30087,Xalapa ,18/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",38,38,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYUtdR
30009,Alto Lucero,30009,Alto Lucero,23/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",8,8,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYUtdR
30065,Emiliano Zapata,30065,Emiliano Zapata,24/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",17,17,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYUtdR
30134,Puente Nacional,30134,Puente Nacional,25/05/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",3,3,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYWnCd
